0 32768 0 0
-28672 0 0 0
0 -28672 0 -3584
28224 0 6720 0
0 27384 0 9408
-26208 0 -11655 0
0 -24751 0 -13474
23066 0 14883 0
0 21206 0 15906
-19218 0 -16568 0
0 -17147 0 -16900
15034 0 16931 0
0 12918 0 16694
-10832 0 -16222 0
0 -8804 0 -15548
6860 0 14705 0
0 5022 0 13724
-3307 0 -12636 0
0 -1727 0 -11470
293 0 10252 0
0 -988 0 9007
2113 0 -7758 0
0 3083 0 -6524
-3899 0 5323 0
0 -4564 0 4170
5085 0 -3078 0
0 5470 0 -2058
-5728 0 1117 0
0 -5867 0 262
5899 0 504 0
0 5836 0 1178
-5689 0 -1760 0
0 -5469 0 -2252
5187 0 2654 0
0 4856 0 2971
-4485 0 -3207 0
0 -4084 0 -3367
3663 0 3457 0
0 3231 0 3482
-2796 0 -3450 0
0 -2364 0 -3368
1943 0 3243 0
0 1538 0 3080
-1153 0 -2887 0
0 -792 0 -2671
458 0 2436 0
0 154 0 2189
119 0 -1935 0
0 361 0 -1679
-571 0 1424 0
0 -749 0 1174
895 0 -934 0
0 1012 0 -706
-1101 0 491 0
0 -1162 0 292
1198 0 -110 0
0 1212 0 53
-1206 0 -198 0
0 -1181 0 -324
1140 0 431 0
0 1087 0 520
-1022 0 -590 0
0 -948 0 -644
867 0 682 0
0 782 0 705
-694 0 -714 0
0 -604 0 -711
515 0 698 0
0 428 0 675
-344 0 -644 0
0 -263 0 -606
187 0 563 0
0 117 0 516
-53 0 -466 0
0 6 0 -414
-58 0 362 0
0 -103 0 309
141 0 -258 0
0 174 0 -208
-200 0 161 0
0 -220 0 116
234 0 -74 0
0 244 0 -35
-249 0 0 0
0 -249 0 -32
245 0 60 0
0 238 0 83
-228 0 -102 0
0 -215 0 -118
200 0 130 0
0 184 0 139
-167 0 -145 0
0 -148 0 -147
129 0 147 0
0 111 0 145
-93 0 -140 0
0 -75 0 -134
58 0 127 0
0 43 0 119
-29 0 -110 0
0 -15 0 -100
2 0 89 0
0 -9 0 78
18 0 -67 0
0 27 0 -56
-34 0 46 0
0 -39 0 36
43 0 -27 0
0 47 0 -18
-50 0 10 0
0 -51 0 2
51 0 5 0
0 51 0 11
-50 0 -16 0
0 -48 0 -21
45 0 24 0
0 42 0 26
-39 0 -28 0
0 -35 0 -29
31 0 30 0
0 28 0 30
-25 0 -30 0
0 -21 0 -30
17 0 29 0
0 14 0 28
-11 0 -26 0
0 -7 0 -24
4 0 22 0
0 2 0 20
0 0 -18 0
0 3 0 -15
-5 0 13 0
0 -6 0 11
7 0 -9 0
0 9 0 -7
-10 0 5 0
0 -10 0 3
10 0 -1 0
0 11 0 1
-11 0 -2 0
0 -10 0 -3
9 0 4 0
0 9 0 5
-9 0 -6 0
0 -8 0 -7
7 0 7 0
0 7 0 7
-7 0 -7 0
0 -6 0 -7
5 0 7 0
0 5 0 7
-5 0 -7 0
0 -4 0 -7
3 0 7 0
0 3 0 7
-3 0 -7 0
0 -2 0 -7
1 0 7 0
0 1 0 7
-1 0 -7 0
0 0 0 -7
-1 0 6 0
0 -1 0 5
1 0 -4 0
0 2 0 -3
-3 0 2 0
0 -3 0 1
3 0 0 0
0 3 0 0
-3 0 0 0
0 -3 0 -1
2 0 1 0
0 2 0 1
-2 0 -1 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
0 -1 0 -1
0 0 1 0
0 0 0 1
0 0 -1 0
0 1 0 0
-1 0 0 0
