0 0 0 0 0 0
131072 0 131072 0 0 0
98304 0 0 32768 0 0
98304 24576 24576 32768 16384 0
92160 43008 43008 34816 23552 4096
81408 55296 55296 39680 27712 8960
67584 61824 61824 46576 31964 13648
52128 63264 63264 54041 37273 18227
36312 60480 60480 60538 43328 22988
21192 54438 54438 64826 49225 28073
7582 46126 46126 66129 53949 33361
-3950 36490 36490 64173 56668 38508
-13073 26380 26380 59128 56879 43048
-19668 16516 16516 51503 54449 46505
-23797 7470 7470 42019 49573 48491
-25665 -347 -347 31493 42698 48761
-25579 -6677 -6677 20731 34427 47245
-23910 -11403 -11403 10455 25428 44040
-21060 -14530 -14530 1247 16352 39387
-17428 -16163 -16163 -6474 7777 33628
-13388 -16480 -16480 -12459 165 27165
-9268 -15707 -15707 -16621 -6157 20415
-5342 -14098 -14098 -19009 -11004 13772
-1818 -11909 -11909 -19783 -14319 7578
1159 -9387 -9387 -19181 -16156 2103
3505 -6751 -6751 -17489 -16659 -2462
5192 -4187 -4187 -15012 -16032 -6012
6238 -1843 -1843 -12051 -14520 -8517
6698 177 177 -8882 -12378 -10018
6653 1807 1807 -5744 -9856 -10608
6201 3018 3018 -2829 -7184 -10420
5446 3813 3813 -279 -4558 -9611
4492 4221 4221 1813 -2134 -8348
3436 4288 4288 3401 -27 -6795
2364 4075 4075 4479 1689 -5103
1345 3647 3647 5075 2979 -3405
433 3071 3071 5242 3841 -1809
-335 2411 2411 5049 4301 -397
-938 1724 1724 4576 4407 777
-1369 1058 1058 3905 4216 1684
-1634 451 451 3115 3797 2317
-1747 -71 -71 2278 3219 2687
-1730 -490 -490 1455 2547 2820
-1608 -800 -800 695 1842 2751
-1408 -1002 -1002 34 1153 2523
-1158 -1104 -1104 -505 521 2180
-882 -1118 -1118 -912 -24 1765
-603 -1059 -1059 -1186 -466 1317
-339 -945 -945 -1335 -796 871
-103 -794 -794 -1373 -1016 454
95 -622 -622 -1318 -1131 86
250 -443 -443 -1191 -1154 -219
360 -270 -270 -1014 -1100 -453
427 -113 -113 -807 -988 -615
455 22 22 -589 -836 -709
449 130 130 -375 -660 -741
416 209 209 -178 -476 -721
363 260 260 -7 -297 -660
298 285 285 132 -133 -570
226 288 288 236 8 -461
154 272 272 306 122 -344
86 242 242 343 207 -228
25 203 203 351 263 -120
-26 158 158 336 291 -25
-66 112 112 302 295 54
-94 67 67 256 280 114
-111 26 26 202 251 155
-118 -9 -9 145 211 179
-116 -37 -37 90 165 187
-107 -57 -57 39 117 181
-93 -70 -70 -5 71 165
-76 -76 -76 -41 29 141
-57 -76 -76 -68 -7 113
-38 -72 -72 -86 -37 83
-20 -64 -64 -95 -59 53
-4 -53 -53 -97 -73 25
9 -41 -41 -92 -80 0
19 -29 -29 -83 -81 -20
26 -17 -17 -70 -76 -36
30 -7 -7 -56 -68 -46
31 2 2 -41 -57 -52
30 9 9 -27 -45 -54
27 14 14 -14 -33 -52
23 17 17 -3 -21 -48
18 18 18 6 -10 -42
13 18 18 13 -1 -34
8 16 16 17 7 -26
4 14 14 19 12 -18
0 11 11 19 15 -11
-3 8 8 18 17 -5
-5 5 5 15 16 0
-7 2 2 12 14 4
-8 -1 -1 9 13 6
-8 -3 -3 5 11 7
-8 -5 -5 1 8 8
-7 -6 -6 -3 4 8
-6 -7 -7 -6 0 7
-5 -7 -7 -8 -3 5
-4 -7 -7 -9 -5 3
-3 -7 -7 -10 -6 1
-2 -6 -6 -11 -7 -1
-1 -5 -5 -11 -8 -3
0 -4 -4 -11 -9 -5
1 -3 -3 -10 -9 -6
1 -2 -2 -9 -9 -7
1 -2 -2 -8 -8 -8
1 -2 -2 -7 -7 -8
1 -2 -2 -6 -6 -8
1 -2 -2 -5 -5 -8
1 -2 -2 -5 -4 -8
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
1 -2 -2 -5 -4 -7
