950079 200615
727167 571312
393546 855040
10 1008595
-393528 1008599
-727154 855051
-950076 571328
-1028356 200625
-950083 -200613
-727171 -571311
-393549 -855041
-12 -1008597
393527 -1008602
727155 -855055
950079 -571332
1028361 -200628
950089 200613
727176 571314
393552 855046
12 1008603
-393529 1008607
-727158 855059
-950083 571335
-1028365 200629
-950093 -200613
-727180 -571314
-393556 -855046
-16 -1008604
393526 -1008610
727157 -855063
950084 -571339
1028368 -200633
950097 200610
727184 571313
393560 855047
19 1008607
-393525 1008614
-727157 855067
-950085 571343
-1028370 200636
-950093 -200616
-727180 -571319
-393562 -855046
-21 -1008607
393523 -1008615
727156 -855069
950085 -571345
1028370 -200638
950094 200614
727182 571317
393564 855044
23 1008606
-393521 1008615
-727154 855070
-950083 571347
-1028369 200641
-950094 -200610
-727183 -571313
-393567 -855040
-28 -1008603
393515 -1008614
727149 -855071
950080 -571350
1028368 -200645
950095 200606
727186 571309
393571 855037
32 1008601
-393511 1008613
-727145 855072
-950077 571353
-1028367 200650
-950096 -200600
-727189 -571304
-393576 -855034
-38 -1008600
393506 -1008614
727142 -855075
950076 -571357
1028368 -200654
950099 200597
727185 571309
393572 855039
42 1008599
-393502 1008615
-727138 855077
-950073 571360
-1028367 200658
-950099 -200593
-727185 -571305
-393572 -855035
-43 -1008595
393499 -1008611
727134 -855074
950069 -571359
1028363 -200659
950096 200590
727184 571301
393573 855031
45 1008592
-393497 1008610
-727132 855074
-950067 571359
-1028361 200659
-950094 -200590
-727182 -571300
-393572 -855029
-46 -1008590
393495 -1008608
727130 -855073
950065 -571360
1028360 -200662
950095 200586
727185 571297
393576 855028
50 1008590
-393491 1008609
-727126 855076
-950062 571365
-1028359 200668
-950096 -200580
-727188 -571291
-393571 -855027
-44 -1008590
393488 -1008605
727122 -855072
950057 -571361
1028353 -200665
950091 200580
727185 571288
393571 855022
47 1008585
-393484 1008602
-727118 855071
-950054 571362
-1028351 200667
-950089 -200578
-727183 -571286
-393569 -855020
-46 -1008582
393483 -1008598
727115 -855068
950050 -571361
1028347 -200668
950086 200575
727182 571282
393570 855016
48 1008579
-393481 1008597
-727113 855068
-950048 571361
-1028346 200669
-950086 -200573
-727182 -571280
-393570 -855014
-49 -1008577
393479 -1008595
727111 -855066
950046 -571360
1028344 -200669
950084 200573
727181 571279
393571 855012
43 1008576
-393485 1008594
-727109 855065
-950044 571360
-1028342 200669
-950083 -200572
-727181 -571277
-393571 -855010
-43 -1008574
393485 -1008592
727109 -855063
950043 -571358
1028340 -200668
950081 200572
727179 571277
393569 855010
41 1008574
-393486 1008591
-727108 855061
-950041 571356
-1028337 200666
-950077 -200573
-727176 -571276
-393568 -855007
-42 -1008570
393484 -1008588
727106 -855059
950039 -571355
1028336 -200667
950077 200571
727176 571274
393568 855005
42 1008568
-393484 1008586
-727105 855057
-950037 571353
-1028333 200665
-950073 -200573
-727172 -571275
-393564 -855004
-39 -1008565
393491 -1008580
727111 -855051
950036 -571349
1028331 -200661
950070 200576
727168 571277
393560 855006
35 1008567
-393495 1008581
-727115 855050
-950039 571346
-1028332 200657
-950069 -200580
-727165 -571280
-393556 -855007
-31 -1008566
393499 -1008578
727118 -855046
950040 -571342
1028331 -200653
950067 200584
727162 571284
393552 855010
27 1008567
-393503 1008578
-727121 855045
-950042 571340
-1028333 200651
-950068 -200586
-727162 -571286
-393551 -855012
-25 -1008569
393505 -1008579
727123 -855045
950043 -571339
1028332 -200649
950066 200588
727160 571287
393549 855012
23 1008568
-393506 1008577
-727127 855038
-950048 571332
-1028333 200646
-950065 -200592
-727157 -571291
-393545 -855015
-19 -1008569
393510 -1008576
727130 -855035
950049 -571328
1028333 -200642
950064 200596
727154 571295
393541 855018
15 1008571
-393514 1008577
-727134 855035
-950053 571327
-1028336 200639
-950065 -200600
-727154 -571299
-393540 -855022
-12 -1008574
393518 -1008578
727137 -855034
950054 -571325
1028336 -200637
950065 200602
727153 571301
393537 855024
8 1008575
-393522 1008578
-727141 855033
-950058 571322
-1028339 200633
-950066 -200607
-727152 -571307
-393535 -855029
-6 -1008579
393524 -1008581
727143 -855035
950060 -571317
1028341 -200628
950068 200605
727154 571305
393537 855028
8 1008579
-393523 1008582
-727144 855037
-950063 571319
-1028345 200629
-950072 -200606
-727158 -571308
-393539 -855033
-6 -1008585
393527 -1008587
727148 -855040
950067 -571320
1028349 -200629
950076 200606
727161 571309
393541 855035
8 1008588
-393526 1008591
-727149 855044
-950069 571323
-1028351 200630
-950078 -200607
-727163 -571311
-393543 -855037
-9 -1008590
393527 -1008593
727151 -855045
950071 -571323
1028353 -200630
950080 200607
727165 571311
393544 855038
9 1008592
-393527 1008595
-727151 855047
-950072 571325
-1028352 200624
-950079 -200613
-727167 -571310
-393546 -855038
-10 -1008593
393527 -1008597
727152 -855049
950074 -571327
1028354 -200625
950081 200613
727169 571310
393548 855039
12 1008595
-393526 1008600
-727153 855053
