0 0 0
65536 0 0
49152 4096 16384
36864 9984 27648
27648 16080 34368
20736 21375 37260
15552 25306 37100
11664 27645 34662
8748 28401 30667
6561 27739 25754
4921 25919 20460
3691 23242 15211
2768 20012 10323
2076 16512 6012
1557 12985 2403
1168 9625 -454
876 6577 -2568
657 3935 -3993
493 1748 -4812
370 30 -5126
278 -1238 -5041
209 -2094 -4662
157 -2592 -4086
118 -2794 -3399
89 -2763 -2671
67 -2562 -1958
50 -2247 -1301
38 -1867 -727
29 -1463 -251
22 -1067 122
17 -702 394
13 -383 574
10 -119 673
8 87 705
6 237 685
5 335 627
4 388 545
3 403 449
2 390 349
2 356 252
2 308 164
2 253 88
2 196 25
2 141 -23
2 91 -58
2 48 -80
2 13 -91
2 -14 -94
2 -33 -90
2 -45 -81
2 -51 -69
2 -52 -56
2 -49 -42
2 -44 -29
2 -37 -17
2 -29 -7
2 -21 1
2 -14 7
2 -8 11
2 -2 14
2 2 15
2 5 15
2 7 14
2 9 13
2 10 11
2 10 9
2 9 7
2 8 5
2 7 4
2 6 3
2 5 2
2 4 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
2 3 1
