0 0 0 0 0 0
65536 0 65536 0 0 0
57344 0 0 8192 0 0
57344 7168 7168 8192 2048 0
56448 13440 13440 8832 3584 256
54768 18816 18816 10064 4896 672
52416 23310 23310 11804 6188 1200
49503 26949 26949 13944 7592 1823
46135 29768 29768 16363 9180 2545
42414 31813 31813 18937 10975 3374
38438 33138 33138 21542 12966 4324
34296 33800 33800 24064 15110 5404
30071 33862 33862 26401 17349 6617
25839 33388 33388 28465 19612 7958
21666 32444 32444 30187 21825 9415
17611 31097 31097 31514 23915 10967
13724 29411 29411 32412 25815 12586
10048 27450 27450 32862 27465 14239
6617 25275 25275 32860 28814 15893
3458 22943 22943 32418 29826 17508
591 20508 20508 31557 30474 19048
-1972 18018 18018 30311 30745 20476
-4224 15519 15519 28720 30636 21760
-6163 13052 13052 26830 30157 22869
-7794 10650 10650 24692 29325 23780
-9125 8344 8344 22358 28167 24473
-10168 6160 6160 19881 26715 24934
-10938 4119 4119 17312 25007 25157
-11452 2237 2237 14701 23084 25138
-11731 526 526 12095 20988 24881
-11796 -1006 -1006 9537 18764 24394
-11670 -2355 -2355 7066 16457 23690
-11375 -3519 -3519 4714 14109 22786
-10935 -4501 -4501 2511 11760 21701
-10372 -5305 -5305 478 9447 20459
-9708 -5938 -5938 -1366 7205 19082
-8965 -6409 -6409 -3009 5062 17597
-8163 -6728 -6728 -4443 3044 16030
-7322 -6908 -6908 -5664 1172 14407
-6458 -6960 -6960 -6674 -537 12753
-5588 -6898 -6898 -7476 -2071 11091
-4725 -6734 -6734 -8080 -3422 9446
-3883 -6483 -6483 -8494 -4586 7838
-3072 -6158 -6158 -8731 -5563 6285
-2302 -5772 -5772 -8805 -6355 4804
-1580 -5338 -5338 -8732 -6968 3409
-912 -4868 -4868 -8529 -7409 2112
-303 -4373 -4373 -8211 -7689 921
244 -3864 -3864 -7796 -7819 -156
727 -3351 -3351 -7301 -7813 -1114
1146 -2842 -2842 -6743 -7685 -1951
1502 -2343 -2343 -6138 -7449 -2668
1795 -1863 -1863 -5499 -7121 -3266
2028 -1406 -1406 -4841 -6715 -3748
2204 -977 -977 -4177 -6247 -4119
2327 -579 -579 -3519 -5730 -4385
2400 -216 -216 -2875 -5177 -4553
2427 111 111 -2254 -4601 -4631
2414 401 401 -1665 -4014 -4628
2364 652 652 -1113 -3427 -4551
2283 866 866 -603 -2849 -4411
2175 1043 1043 -138 -2287 -4216
2045 1184 1184 278 -1750 -3975
1897 1291 1291 645 -1243 -3697
1736 1367 1367 962 -771 -3390
1566 1414 1414 1229 -338 -3063
1390 1433 1433 1448 54 -2723
1211 1427 1427 1621 403 -2376
1033 1400 1400 1749 708 -2029
858 1354 1354 1836 968 -1687
689 1292 1292 1884 1185 -1355
528 1217 1217 1897 1360 -1037
376 1131 1131 1879 1494 -737
235 1037 1037 1834 1590 -458
106 937 937 1765 1651 -202
-11 833 833 1676 1680 30
-115 727 727 1570 1679 237
-205 622 622 1451 1652 417
-282 519 519 1322 1601 571
-346 419 419 1186 1531 700
-398 323 323 1047 1445 804
-438 233 233 907 1345 884
-467 149 149 768 1235 942
-485 72 72 632 1119 979
-494 2 2 502 998 996
-494 -60 -60 378 874 996
-486 -114 -114 261 750 981
-471 -160 -160 153 628 952
-451 -199 -199 55 509 911
-426 -231 -231 -33 395 861
-397 -256 -256 -111 288 803
-365 -274 -274 -179 188 739
-330 -285 -285 -237 96 670
-294 -291 -291 -285 12 599
-257 -291 -291 -323 -63 526
-220 -287 -287 -352 -128 453
-184 -279 -279 -372 -184 381
-149 -267 -267 -384 -231 311
-115 -252 -252 -389 -269 244
-83 -235 -235 -387 -299 180
-53 -216 -216 -379 -321 120
-26 -196 -196 -365 -335 64
-1 -175 -175 -348 -343 14
21 -154 -154 -327 -344 -30
41 -132 -132 -304 -340 -69
58 -110 -110 -278 -331 -103
72 -89 -89 -250 -318 -132
84 -68 -68 -222 -301 -155
93 -49 -49 -193 -281 -173
100 -31 -31 -164 -259 -187
104 -15 -15 -135 -235 -196
106 0 0 -107 -210 -201
106 13 13 -80 -184 -202
105 25 25 -56 -158 -199
102 35 35 -33 -132 -194
98 43 43 -12 -108 -186
93 50 50 7 -84 -176
87 55 55 24 -62 -165
81 59 59 38 -40 -152
74 62 62 50 -21 -138
67 64 64 60 -3 -123
59 64 64 69 13 -108
51 63 63 76 27 -93
44 62 62 80 40 -78
37 60 60 82 50 -63
30 57 57 83 58 -49
23 53 53 83 64 -35
17 49 49 81 68 -22
11 45 45 79 71 -11
6 41 41 76 73 -1
