1027115 211077
963602 413503
860635 599015
722428 760006
554649 889874
364186 983301
158787 1036483
-53119 1047228
-262820 1015103
-461773 941423
-641829 829196
-795613 683015
-916817 508877
-1000484 313916
-1043194 106091
-1043194 -106097
-1000492 -313899
-916823 -508870
-795635 -682992
-641838 -829191
-461787 -941414
-262835 -1015100
-53128 -1047231
158778 -1036486
364172 -983305
554654 -889871
722414 -760015
860626 -599027
963599 -413511
1027111 -211083
1048580 -16
1027115 211077
963602 413503
860635 599015
722428 760006
554649 889874
364186 983301
158787 1036483
-53119 1047228
-262820 1015103
-461773 941423
-641829 829196
-795613 683015
-916817 508877
-1000484 313916
-1043194 106091
-1043194 -106097
-1000492 -313899
-916823 -508870
-795635 -682992
-641838 -829191
-461787 -941414
-262835 -1015100
-53128 -1047231
158778 -1036486
364172 -983305
554654 -889871
722414 -760015
860626 -599027
963599 -413511
1027111 -211083
1048580 -16
1027115 211077
963602 413503
860635 599015
722428 760006
554649 889874
364186 983301
158787 1036483
-53119 1047228
-262820 1015103
-461773 941423
-641829 829196
-795613 683015
-916817 508877
-1000484 313916
-1043194 106091
-1043194 -106097
-1000492 -313899
-916823 -508870
-795635 -682992
-641838 -829191
-461787 -941414
-262835 -1015100
-53128 -1047231
158778 -1036486
364172 -983305
554654 -889871
722414 -760015
860626 -599027
963599 -413511
1027111 -211083
1048580 -16
1027115 211077
963602 413503
860635 599015
722428 760006
554649 889874
364186 983301
158787 1036483
-53119 1047228
-262820 1015103
-461773 941423
-641829 829196
-795613 683015
-916817 508877
-1000484 313916
-1043194 106091
-1043194 -106097
-1000492 -313899
-916823 -508870
-795635 -682992
-641838 -829191
-461787 -941414
-262835 -1015100
-53128 -1047231
158778 -1036486
364172 -983305
554654 -889871
722414 -760015
860626 -599027
963599 -413511
1027111 -211083
1048580 -16
1027115 211077
963602 413503
860635 599015
722428 760006
554649 889874
364186 983301
158787 1036483
-53119 1047228
-262820 1015103
-461773 941423
-641829 829196
-795613 683015
-916817 508877
-1000484 313916
-1043194 106091
-1043194 -106097
