0x00000 0x00000 0x00000 0x00000
0x00000 0x00000 0x00000 0x00000
0x00000 0x003C0 -0x002A7 0x002A7
-0x00523 0x00523 -0x00744 0x00000
-0x00A8C 0x00000 -0x00775 -0x00775
-0x0099C -0x0099C 0x00000 -0x00D97
-0x00001 -0x01068 0x00B99 -0x00B9A
0x00D6D -0x00D6E 0x012FD -0x00001
0x0155A -0x00001 0x00F1A 0x00F18
0x0109D 0x0109B 0x00001 0x0177D
0x00001 0x01969 -0x011F7 0x011F8
-0x0132D 0x0132E -0x01B1F 0x00001
-0x01CA1 0x00001 -0x0143F -0x0143E
-0x0152B -0x0152A -0x00001 -0x01DEF
-0x00001 -0x01F0C 0x015F3 -0x015F5
0x0169A -0x0169C 0x01FF8 -0x00001
0x020B7 0x00000 0x01722 0x01722
0x01789 0x0178A -0x00001 0x02149
-0x00001 0x021B2 -0x017D4 0x017D3
-0x01802 0x01801 -0x021F3 -0x00001
-0x0220E 0x00000 -0x01814 -0x01814
-0x0180E -0x0180E 0x00000 -0x02205
-0x00001 -0x021DB 0x017F0 -0x017F1
0x017BC -0x017BD 0x02191 -0x00001
0x0212A -0x00001 0x01774 0x01773
0x01718 0x01717 0x00001 0x020A8
0x00001 0x0200D -0x016A9 0x016AA
-0x0162B 0x0162C -0x01F5A 0x00001
-0x01E93 0x00001 -0x0159F -0x0159E
-0x01506 -0x01504 -0x00001 -0x01DBA
-0x00001 -0x01CCF 0x0145E -0x0145F
0x013AE -0x013AF 0x01BD5 -0x00001
0x01ACE 0x00000 0x012F4 0x012F4
0x01232 0x01232 0x00000 0x019BB
-0x00001 0x0189F -0x01169 0x01168
-0x0109B 0x0109A -0x0177B -0x00001
-0x01651 -0x00001 -0x00FC7 -0x00FC8
-0x00EF1 -0x00EF2 0x00001 -0x01522
0x00001 -0x013EF 0x00E19 -0x00E18
0x00D3F -0x00D3E 0x012BB 0x00001
0x01186 0x00001 0x00C63 0x00C65
0x00B89 0x00B8B -0x00001 0x01051
-0x00001 0x00F1E -0x00AB1 0x00AB0
-0x009DA 0x009D9 -0x00DEE -0x00001
-0x00CC2 0x00000 -0x00905 -0x00905
-0x00834 -0x00834 0x00000 -0x00B9A
-0x00001 -0x00A79 0x00767 -0x00768
0x0069F -0x006A0 0x0095E -0x00001
0x0084B -0x00001 0x005DE 0x005DC
0x00521 0x0051F 0x00001 0x0073F
0x00001 0x0063C -0x00468 0x00469
-0x003B7 0x003B8 -0x00541 0x00001
-0x00450 0x00001 -0x0030D -0x0030C
-0x0026A -0x00269 -0x00001 -0x00369
-0x00001 -0x0028C 0x001CC -0x001CE
0x00137 -0x00139 0x001B9 -0x00001
0x000F1 0x00000 0x000AA 0x000AA
0x00024 0x00024 0x00000 0x00033
-0x00001 -0x00080 0x0005A -0x0005B
0x000D0 -0x000D1 0x00127 -0x00001
0x001C3 -0x00001 0x00140 0x0013E
0x001A6 0x001A5 0x00001 0x00254
0x00000 0x002DA -0x00204 0x00204
-0x0025B 0x0025B -0x00355 0x00000
-0x003C6 0x00000 -0x002AB -0x002AB
-0x002F4 -0x002F4 0x00000 -0x0042D
0x00000 -0x0048A 0x00336 -0x00336
0x00370 -0x00370 0x004DC 0x00000
0x00525 0x00000 0x003A3 0x003A3
0x003D0 0x003D0 0x00000 0x00564
-0x00001 0x0059A -0x003F7 0x003F5
-0x00417 0x00415 -0x005C7 -0x00001
-0x005EC 0x00000 -0x00430 -0x00430
-0x00445 -0x00445 0x00000 -0x0060A
-0x00001 -0x00620 0x00454 -0x00455
0x0045E -0x0045F 0x0062E -0x00001
0x00635 -0x00001 0x00464 0x00463
0x00464 0x00463 0x00001 0x00635
0x00001 0x0062F -0x0045F 0x00460
-0x00457 0x00457 -0x00623 0x00000
-0x00612 0x00000 -0x0044B -0x0044B
-0x0043B -0x0043B 0x00000 -0x005FC
0x00000 -0x005E1 0x00428 -0x00428
